Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2010,SAC,SACRAMENTO CA ,"11,441","9,873",623,"4,643",107,87,12,103,"11,548","10,595","4,746"
,,,,,,,,,,,,,
2010,SAJ,SAN JUAN PR ,"1,508","1,316",167,557,18,17, -   ,5,"1,526","1,500",562
,,,,,,,,,,,,,
2010,SBD,SAN BERNADINO CA,"10,719","8,510",813,"5,093",144,193,14,38,"10,863","9,530","5,131"
,,,,,,,,,,,,,
2010,SEA,SEATTLE WA ,"14,574","14,514","1,003","3,919",240,230,12,47,"14,814","15,759","3,966"
,,,,,,,,,,,,,
2010,SFR,SAN FRAN. CA ,"24,324","22,780","1,684","8,804",116,125,9,45,"24,440","24,598","8,849"
,,,,,,,,,,,,,
2010,SFV,SAN FERNANDO VALLEY CA,"13,406","9,485","1,168","6,099",74,1, -   ,12,"13,480","10,654","6,111"
,,,,,,,,,,,,,
2010,SLC,SALT LAKE CITY UT ,"3,314","2,838",217,"1,308",33,31,1,8,"3,347","3,087","1,316"
,,,,,,,,,,,,,
2010,SNA,SAN ANTONIO TX ,"8,775","7,346",783,"3,428",490,546,17,132,"9,265","8,692","3,560"
,,,,,,,,,,,,,
2010,SND,SAN DIEGO CA ,"5,702","6,112",177,"2,167",773,663,13,133,"6,475","6,965","2,300"
,,,,,,,,,,,,,
2010,SNJ,SAN JOSE CA ,"14,439","14,672",818,"4,559",40,37,1,5,"14,479","15,528","4,564"
,,,,,,,,,,,,,
2010,SPM,ST PAUL MN ,"11,781","9,965","1,253","4,519",80,62,11,15,"11,861","11,291","4,534"
,,,,,,,,,,,,,
2010,SPO,SPOKANE WA ,819,705,50,275,14,19,3,2,833,777,277
,,,,,,,,,,,,,
2010,STA,ST ALBANS VT ,459,409,28,166,3, -   , -   ,4,462,437,170
,,,,,,,,,,,,,
2010,STL,ST LOUIS MO ,"2,717","2,684",94,"1,264",31,26,1,22,"2,748","2,805","1,286"
,,,,,,,,,,,,,
2010,TAM,TAMPA FL ,"11,576","9,279",860,"5,087",73,64,7,14,"11,649","10,210","5,101"
,,,,,,,,,,,,,
2010,TUC,TUCSON AZ/SUB ,"2,228","2,022",182,891,58,135,8,15,"2,286","2,347",906
,,,,,,,,,,,,,
