,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"244,134","226,745","25,943","518,707","1,183","2,336",235,"3,858","245,317","229,081","26,178","522,565"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Norfolk ,NOR,"1,254","1,423",149,"2,984",17,328,12,315,"1,271","1,751",161,"3,299"
,,,,,,,,,,,,,,
Washington,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Seattle ,SEA,"4,142","2,901",350,"8,230",12,29,2,76,"4,154","2,930",352,"8,306"
,,,,,,,,,,,,,,
,Spokane ,SPO,228,213,26,489,1, -   , -   ,4,229,213,26,493
,,,,,,,,,,,,,,
,Yakima,YAK,541,359,36,983, -   ,1, -   ,2,541,360,36,985
,,,,,,,,,,,,,,
Wisconsin,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Milwaukee ,MIL,"1,103",926,129,"2,210",1,4, -   ,4,"1,104",930,129,"2,214"
,,,,,,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
Guam,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Hagatna,AGA,226,125,14,440,1,4,1,5,227,129,15,445
,,,,,,,,,,,,,,
U.S. Virgin Islands,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Charlotte Amalie,CHA,110,134,15,179, -   ,1, -   ,3,110,135,15,182
,,,,,,,,,,,,,,
,Christiansted ,CHR,60,80,2,209, -   , -   , -   ,1,60,80,2,210
,,,,,,,,,,,,,,
Puerto Rico,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,San Juan ,SAJ,"1,039",601,81,"2,135", -   , -   , -   ,1,"1,039",601,81,"2,136"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
