,,, Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 
,,,,,,,,,,,,,,
 Total ,,,"218,248","174,984","22,599","747,383",661,420,76,"5,969","218,909","175,404","22,675","753,352"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
, St. Albans  , STA ,207,203,12,347, -   , -   , -   , D ,207,203,12,350
,,,,,,,,,,,,,,
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Norfolk  , NOR ,"1,471",799,105,"4,409", D ,32, D ,353,"1,480",831,106,"4,762"
,,,,,,,,,,,,,,
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Seattle  , SEA ,"4,750","2,187",195,"18,464",23, D , -   ,243,"4,773","2,195",195,"18,707"
,,,,,,,,,,,,,,
, Spokane  , SPO ,292,205,22,590, D , -   , -   , D ,294,205,22,597
,,,,,,,,,,,,,,
, Yakima , YAK ,526,675,25,722, -   , -   , -   , D ,526,675,25,724
,,,,,,,,,,,,,,
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charleston  , CHS ,26, -   , -   , D , -   , -   , -   , -   ,26, -   , -   , D 
,,,,,,,,,,,,,,
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Milwaukee  , MIL ,"1,186","1,066",73,"4,121", D , -   , -   ,30,"1,189","1,066",73,"4,151"
,,,,,,,,,,,,,,
 Field Office by Territory6 ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Agana , AGA ,225,257,19,436, D , -   , D ,13,227,257,21,449
,,,,,,,,,,,,,,
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Charlotte Amalie , CHA ,88,52, D ,388, -   , -   , -   , D ,88,52, D ,393
,,,,,,,,,,,,,,
, Christiansted  , CHR ,20,16, -   ,169, -   , -   , -   , -   ,20,16, -   ,169
,,,,,,,,,,,,,,
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, San Juan  , SAJ ,393,481,115,"1,426", -   , D , -   , -   ,393,482,115,"1,426"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 D  Data withheld to protect applicants' privacy. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 - Represents zero. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
" 1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
  Total includes both general and military naturalization.  ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 2  The number of new applications received and entered into a case-tracking system during the reporting period. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 3  The number of applications approved during the reporting period. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
" 4  The number of applications that were denied, terminated, or withdrawn during the reporting period. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 5  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
" NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods.  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
" Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT),  March 2018. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,
,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
