,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,Pittsburgh ,616,457,38,"1,290", D , D , -   , D ,618,460,38,"1,293"
,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Providence ,673,682,87,"1,157", -   , D , -   , -   ,673,688,87,"1,157"
,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charleston ,806,749,90,"1,180",620,398,17,892,"1,426","1,147",107,"2,072"
,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Memphis ,"1,514","1,588",108,"3,202", D , D , -   , D ,"1,520","1,592",108,"3,209"
,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dallas ,"5,186","5,283",656,"13,616",19,31, D ,22,"5,205","5,314",660,"13,638"
,,,,,,,,,,,,,
,El Paso ,"1,050","1,404",64,"2,056",13,24, -   ,23,"1,063","1,428",64,"2,079"
,,,,,,,,,,,,,
,Harlingen ,763,"1,222",116,"1,570", D , D , -   , D ,769,"1,227",116,"1,574"
,,,,,,,,,,,,,
,Houston ,"5,907","4,204",312,"17,379",11,12, D ,24,"5,918","4,216",314,"17,403"
,,,,,,,,,,,,,
,San Antonio ,"2,477","3,133",154,"4,930",57,125,13,65,"2,534","3,258",167,"4,995"
,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Salt Lake City ,952,"1,190",71,"2,218", D , D , -   , D ,955,"1,197",71,"2,223"
,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,
,,,,,,,,,,,,,
,St. Albans ,169,189, D ,250, -   , D , -   , -   ,169,190, D ,250
,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Norfolk ,"1,095",984,57,"1,975",48,183,40,114,"1,143","1,167",97,"2,089"
,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Seattle ,"3,264","2,291",241,"8,055",17,26, -   ,46,"3,281","2,317",241,"8,101"
,,,,,,,,,,,,,
,Spokane ,191,214,14,276, -   , D , -   , D ,191,218,14,277
,,,,,,,,,,,,,
,Yakima,371,679,42,347, D , D , -   , D ,374,681,42,349
,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Milwaukee ,813,839,134,"1,316", D , D , -   , D ,816,840,134,"1,319"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hagatna,262,253,13,313, -   , D , -   , D ,262,257,13,315
,,,,,,,,,,,,,
U.S. Virgin Islands,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charlotte Amalie,121,143,11,133, D , D , -   , D ,124,144,11,134
,,,,,,,,,,,,,
,Christiansted ,88,37, D ,219, -   , -   , -   , D ,88,37, D ,220
,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,
,,,,,,,,,,,,,
,San Juan ,781,754,87,"1,540", D , -   , -   , D ,782,754,87,"1,542"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,
,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  October 2014",,,,,,,,,,,,,
