,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
Washington,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Seattle ,"3,151","1,741",215,"9,327",12,15, D ,42,"3,163","1,756",220,"9,369"
,,,,,,,,,,,,,
,Spokane ,186,180,30,274, D , -   , D , D ,188,180,31,276
,,,,,,,,,,,,,
,Yakima,339,233,27,488, D , D , -   , D ,340,235,27,489
,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Milwaukee ,814,861,127,"1,168", D , D , -   , D ,818,864,127,"1,173"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hagatna,236,162,11,392, D , -   , -   , D ,237,162,11,395
,,,,,,,,,,,,,
U.S. Virgin Islands,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charlotte Amalie,117,104, D ,174, D , -   , -   , D ,120,104, D ,175
,,,,,,,,,,,,,
,Christiansted ,48,91, D ,154, -   , -   , -   , -   ,48,91, D ,154
,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,
,,,,,,,,,,,,,
,San Juan ,710,718,110,"1,223", D , D , -   , D ,712,720,110,"1,225"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
,,,,,,,,,,,,,
'-' Represents zero.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,
,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  January 2015",,,,,,,,,,,,,
