,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,Portland ,POO,"1,988","1,817",99,"4,501",6,5,1,5,"1,994","1,822",100,"4,506"
,,,,,,,,,,,,,,
Pennsylvania,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Philadelphia,PHI,"4,443","3,589",354,"8,128",21,9, -   ,13,"4,464","3,598",354,"8,141"
,,,,,,,,,,,,,,
,Pittsburgh ,PIT,821,332,23,"1,763",4,1,1,5,825,333,24,"1,768"
,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Providence ,PRO,743,687,55,"1,238",3,4, -   ,2,746,691,55,"1,240"
,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Charleston ,CHL,879,727,71,"1,400",744,444,20,958,"1,623","1,171",91,"2,358"
,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Memphis ,MEM,"1,743","1,146",80,"3,704",3,5, -   ,5,"1,746","1,151",80,"3,709"
,,,,,,,,,,,,,,
Texas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dallas ,DAL,"5,378","3,811",620,"14,697",18,25,3,26,"5,396","3,836",623,"14,723"
,,,,,,,,,,,,,,
,El Paso ,ELP,"1,175",894,97,"1,990",15,25, -   ,39,"1,190",919,97,"2,029"
,,,,,,,,,,,,,,
,Harlingen ,HLG,762,769,59,"1,505", -   ,2, -   ,3,762,771,59,"1,508"
,,,,,,,,,,,,,,
,Houston ,HOU,"6,174","6,640",600,"16,832",15,12,3,14,"6,189","6,652",603,"16,846"
,,,,,,,,,,,,,,
,San Antonio ,SNA,"2,835","2,373",241,"5,197",131,169,4,347,"2,966","2,542",245,"5,544"
,,,,,,,,,,,,,,
Utah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Salt Lake City ,SLC,1210,1011,116,"1,271",1,1, -   ,4,"1,211","1,012",116,"1,275"
,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,St. Albans ,STA,161,116,7,285,2, -   , -   ,3,163,116,7,288
,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Norfolk ,NOR,"1,290",959,49,"2,319",34,139,6,218,"1,324","1,098",55,"2,537"
,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Seattle ,SEA,"3,836","2,610",315,"10,213",21,34,4,26,"3,857","2,644",319,"10,239"
,,,,,,,,,,,,,,
,Spokane ,SPO,280,191,14,351,3, -   , -   ,4,283,191,14,355
,,,,,,,,,,,,,,
,Yakima,YAK,425,342,47,529,1,2, -   ,2,426,344,47,531
,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Milwaukee ,MIL,"1,052",709,101,"1,424",1,5, -   ,2,"1,053",714,101,"1,426"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hagatna,AGA,219,218,10,388,1, -   , -   ,5,,,,
,,,,,,,,,,,,,,
U.S. Virgin Islands,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Charlotte Amalie,CHA,104,115,20,136, -   , -   ,1, -   ,104,115,21,136
,,,,,,,,,,,,,,
,Christiansted ,CHR,64,41,3,182, -   , -   , -   , -   ,64,41,3,182
,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,San Juan ,SAJ,736,742,62,"1,157",1,1, -   ,2,737,743,62,"1,159"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
