USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,
,,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"185,466","155,129","19,051","384,850","2,169","1,850",139,"3,982","187,635","156,979","19,190","388,832"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Wisconsin,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Milwaukee ,MIL,910,843,170,"1,496", D , D , -   , D ,911,845,170,"1,498"
,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
Field Office by Territory6,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
Guam,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Hagatna,AGA,188,255,15,320, D , D , D , D ,190,256,16,325
U.S. Virgin Islands,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Charlotte Amalie,CHA,110,105, D ,160, -   , -   , -   , -   ,110,105, D ,160
,Christiansted ,CHR,51,85, D ,151, -   , D , -   , -   ,51,86, D ,151
Puerto Rico,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,San Juan ,SAJ,780,562,61,"1,438", D , -   , -   , D ,782,562,61,"1,441"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
'-' Represents zero.,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS),  December 2015",,,,,,,,,,,,,,
