,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Grand Total ,,," 189,410 "," 174,109 "," 21,957 "," 727,740 ", 648 ," 1,141 ", 227 ," 4,093 "," 190,058 "," 175,250 "," 22,184 "," 731,833 "
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
, Oklahoma City  , OKC , 825 , 782 , 130 ," 2,148 ", D , 23 , 12 , 50 , 832 , 805 , 142 ," 2,198 "
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POO ," 2,065 "," 1,700 ", 100 ," 5,187 ", D , D , -   , 21 ," 2,069 "," 1,704 ", 100 ," 5,208 "
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Philadelphia , PHI ," 4,420 "," 4,247 ", 682 ," 16,664 ", D , 23 , D , 39 ," 4,424 "," 4,270 ", 686 ," 16,703 "
, Pittsburgh  , PIT , 629 , 690 , 35 ," 1,583 ", D , D , -   , D , 631 , 695 , 35 ," 1,591 "
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Providence  , PRO , 710 , 336 , 102 ," 1,501 ", D , D , -   , D , 712 , 341 , 102 ," 1,510 "
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHL , 577 , 607 , 40 ," 1,032 ", D , 24 , D , 61 , 584 , 631 , 44 ," 1,093 "
, Greer , GRR , 409 , 568 , 25 , 759 , 14 , D , -   , 63 , 423 , 569 , 25 , 822 
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Memphis  , MEM , 576 , 920 , 133 ," 2,347 ", D , D , -   , 14 , 579 , 921 , 133 ," 2,361 "
, Nashville , NTN ," 1,260 "," 1,001 ", 112 ," 5,596 ", D , 15 , D , 17 ," 1,262 "," 1,016 ", 114 ," 5,613 "
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dallas  , DAL ," 6,163 "," 8,697 ", 724 ," 34,122 ", 10 , 26 , D , 123 ," 6,173 "," 8,723 ", 725 ," 34,245 "
, El Paso  , ELP ," 1,142 "," 1,103 ", 180 ," 4,260 ", D , 34 , D , 71 ," 1,147 "," 1,137 ", 183 ," 4,331 "
, Harlingen  , HLG , 673 ," 1,171 ", 162 ," 3,958 ", D , D , D , 13 , 674 ," 1,175 ", 163 ," 3,971 "
, Houston  , HOU ," 6,293 "," 6,785 ", 561 ," 37,378 ", 13 , 21 , D , 95 ," 6,306 "," 6,806 ", 565 ," 37,473 "
, San Antonio  , SNA ," 4,405 "," 2,303 ", 197 ," 13,617 ", 49 , 59 , 10 , 120 ," 4,454 "," 2,362 ", 207 ," 13,737 "
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Salt Lake City  , SLC ," 1,104 ", 916 , 87 ," 6,228 ", D , D , -   , 26 ," 1,105 ", 922 , 87 ," 6,254 "
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Albans  , STA , 134 , 212 , D , 279 , D , D , -   , D , 136 , 214 , D , 283 
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Norfolk  , NOR ," 1,180 "," 1,375 ", 105 ," 3,808 ", 77 , 86 , 29 , 254 ," 1,257 "," 1,461 ", 134 ," 4,062 "
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Seattle  , SEA ," 4,195 "," 4,827 ", 233 ," 20,599 ", 26 , 63 , D , 165 ," 4,221 "," 4,890 ", 235 ," 20,764 "
, Spokane  , SPO , 275 , 213 , 20 , 425 , D , D , -   , 10 , 277 , 215 , 20 , 435 
, Yakima , YAK , 408 , 323 , 34 , 748 , -   , D , -   , D , 408 , 324 , 34 , 749 
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHS , D , -   , -   , D , -   , -   , -   , -   , D , -   , -   , D 
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Milwaukee  , MIL ," 1,109 "," 1,218 ", 171 ," 3,439 ", D , -   , D , 15 ," 1,110 "," 1,218 ", 172 ," 3,454 "
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Agana , AGA , 194 , 240 , 17 , 373 , D , D , -   , 11 , 195 , 242 , 17 , 384 
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte Amalie , CHA , 85 , 153 , 12 , 266 , -   , D , -   , D , 85 , 155 , 12 , 267 
, Christiansted  , CHR , 40 , -   , D , 134 , -   , -   , -   , -   , 40 , -   , D , 134 
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, San Juan  , SAJ , 356 , 325 , 125 ," 1,021 ", -   , -   , -   , -   , 356 , 325 , 125 ," 1,021 "
D  Represents data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" Total includes both general and military naturalization.",,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,
"1) Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS), Performance Reporting Tool (PRT), queried February 2019.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications by Category and Case Status,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Grand Total ,,, N/A , N/A , N/A , N/A , 153 , 131 , -   , 109 , 153 , 131 , -   , 109 
,,,,,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,
China,,, , , , ,,,,,,,,
, Beijing ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
, Guangzhou ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Cuba,,,,,,,,,,,,,,
, Havana ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Dominican Republic,,,,,,,,,,,,,,
