,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,
 Total ,,," 215,307 "," 209,972 "," 25,632 "," 733,974 ", 798 ," 1,557 ", 214 ," 4,174 "," 216,105 "," 211,529 "," 25,846 "," 738,148 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,,
, New York  , NYC ," 7,155 "," 6,326 "," 1,481 "," 30,029 ", D , 31 , D , 96 ," 7,162 "," 6,357 "," 1,490 "," 30,125 ",
, Queens , QNS ," 6,208 "," 7,033 "," 1,711 "," 23,233 ", 19 , 30 , D , 82 ," 6,227 "," 7,063 "," 1,717 "," 23,315 ",
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Charlotte  , CLT ," 2,098 "," 1,525 ", 144 ," 6,206 ", D , D , D , 14 ," 2,105 "," 1,532 ", 145 ," 6,220 ",
, Raleigh , RAL ," 1,933 "," 2,113 ", 86 ," 3,899 ", 25 , 86 , D , 152 ," 1,958 "," 2,199 ", 87 ," 4,051 ",
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Cincinnati  , CIN , 830 , 948 , 88 ," 1,344 ", D , D , D , 18 , 832 , 954 , 89 ," 1,362 ",
, Cleveland  , CLE ," 1,256 "," 1,388 ", 130 ," 1,741 ", D , D , D , 21 ," 1,259 "," 1,392 ", 131 ," 1,762 ",
, Columbus , CLM ," 1,615 "," 1,736 ", 126 ," 3,031 ", D , 10 , -   , 21 ," 1,621 "," 1,746 ", 126 ," 3,052 ",
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Oklahoma City  , OKC , 959 ," 1,109 ", 116 ," 1,888 ", 11 , 12 , D , 164 , 970 ," 1,121 ", 120 ," 2,052 ",
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Portland  , POO ," 2,184 "," 1,632 ", 81 ," 4,887 ", D , D , -   , 18 ," 2,193 "," 1,635 ", 81 ," 4,905 ",
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Philadelphia , PHI ," 4,908 "," 4,180 ", 606 ," 17,038 ", 18 , 20 , D , 74 ," 4,926 "," 4,200 ", 609 ," 17,112 ",
, Pittsburgh  , PIT , 727 , 749 , 31 ," 1,603 ", D , D , -   , 11 , 728 , 752 , 31 ," 1,614 ",
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Providence  , PRO , 815 ," 1,000 ", 162 ," 1,199 ", D , D , -   , 11 , 816 ," 1,003 ", 162 ," 1,210 ",
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Charleston  , CHL , 659 , 549 , 45 ," 1,058 ", D , 18 , D , 65 , 665 , 567 , 54 ," 1,123 ",
, Greer , GRR , 513 , 508 , 16 , 952 , D , -   , -   , 54 , 516 , 508 , 16 ," 1,006 ",
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Memphis  , MEM , 654 ," 1,440 ", 175 ," 2,809 ", D , D , D , 16 , 657 ," 1,448 ", 177 ," 2,825 ",
, Nashville , NTN ," 1,341 ", 354 , 46 ," 5,436 ", D , 11 , D , 26 ," 1,346 ", 365 , 47 ," 5,462 ",
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Dallas  , DAL ," 6,827 "," 7,387 ", 543 ," 37,160 ", 23 , 46 , D , 188 ," 6,850 "," 7,433 ", 548 ," 37,348 ",
, El Paso  , ELP ," 1,367 "," 1,781 ", 278 ," 4,362 ", 13 , 47 , 26 , 93 ," 1,380 "," 1,828 ", 304 ," 4,455 ",
, Harlingen  , HLG , 765 ," 1,044 ", 197 ," 4,585 ", D , D , D , 12 , 768 ," 1,048 ", 200 ," 4,597 ",
, Houston  , HOU ," 7,443 "," 11,043 ", 868 ," 37,245 ", 18 , 55 , D , 98 ," 7,461 "," 11,098 ", 869 ," 37,343 ",
, San Antonio  , SNA ," 3,737 "," 2,831 ", 246 ," 12,875 ", 62 , 96 , 12 , 142 ," 3,799 "," 2,927 ", 258 ," 13,017 ",
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Salt Lake City  , SLC ," 1,228 ", 907 , 109 ," 6,083 ", D , 11 , D , 31 ," 1,236 ", 918 , 110 ," 6,114 ",
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, St. Albans  , STA , 201 , 176 , D , 360 , D , -   , -   , D , 202 , 176 , D , 363 ,
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Norfolk  , NOR ," 1,201 "," 1,224 ", 90 ," 4,074 ", 33 , 58 , D , 303 ," 1,234 "," 1,282 ", 99 ," 4,377 ",
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Seattle  , SEA ," 4,417 "," 3,280 ", 243 ," 21,431 ", 38 , 103 , 14 , 158 ," 4,455 "," 3,383 ", 257 ," 21,589 ",
, Spokane  , SPO , 307 , 332 , 18 , 371 , D , D , -   , D , 309 , 335 , 18 , 380 ,
, Yakima , YAK , 501 , 604 , 26 , 688 , D , D , D , D , 503 , 605 , 27 , 690 ,
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Charleston  , CHS , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Milwaukee  , MIL ," 1,086 "," 1,335 ", 141 ," 3,656 ", -   , D , D , 16 ," 1,086 "," 1,339 ", 143 ," 3,672 ",
 Field Office by Territory6 ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Agana , AGA , 225 , 249 , 12 , 401 , D , D , D , 13 , 226 , 253 , 13 , 414 ,
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Charlotte Amalie , CHA , 84 , 185 , 15 , 297 , -   , -   , -   , D , 84 , 185 , 15 , 302 ,
, Christiansted  , CHR , 41 , 23 , D , 221 , -   , -   , -   , -   , 41 , 23 , D , 221 ,
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, San Juan  , SAJ , 426 , 520 , 136 ," 1,076 ", -   , -   , -   , -   , 426 , 520 , 136 ," 1,076 ",
,,,,,,,,,,,,,,,
 D  Data withheld to protect applicants' privacy. ,,,,,,,,,,,,,,,
 - Represents zero. ,,,,,,,,,,,,,,,
" 1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" ",,,,,,,,,,,,,,,
  Total includes both general and military naturalization.  ,,,,,,,,,,,,,,,
 2  The number of new applications received and entered into a case-tracking system during the reporting period. ,,,,,,,,,,,,,,,
 3  The number of applications approved during the reporting period. ,,,,,,,,,,,,,,,
" 4  The number of applications that were denied, terminated, or withdrawn during the reporting period. ",,,,,,,,,,,,,,,
 5  The number of applications awaiting a decision as of the end of the reporting period. ,,,,,,,,,,,,,,,
 6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions. ,,,,,,,,,,,,,,,
" NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods.  ",,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated. ,,,,,,,,,,,,,,,
" Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), accessed November 2018. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,, N/A , N/A , N/A , N/A , 132 , 101 , -   , 134 , 132 , 101 , -   , 134 ,
International Field Office by Country,,,,,,,,,,,,,,,
China,,, , , , ,,,,,,,,,
,Beijing,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
,Guangzhou,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Cuba,,,,,,,,,,,,,,,
,Havana,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Dominican Republic,,,,,,,,,,,,,,,
,Santo Domingo,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
El Salvador,,,,,,,,,,,,,,,
,San Salvador,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Germany,,,,,,,,,,,,,,,
,Frankfurt,, N/A , N/A , N/A , N/A , 37 , 46 , -   , 30 , 37 , 46 , -   , 30 ,
Ghana,,,,,,,,,,,,,,,
