"U.S. Citizenship and Immigration Services
Field Offices Form N-400 Applications for Naturalization Receipts, Completions and Pending
Fiscal Years: 2010 through 2013 (November 2012)",,,,,,,,,,,,,
,,, N-400 Non-Military , N-400 Non-Military , N-400 Non-Military , N-400 Non-Military ,N-400 Military,N-400 Military,N-400 Military,N-400 Military, Total Naturalization Applications  , Total Naturalization Applications  , Total Naturalization Applications  
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2011,LOS,LOS ANGELES CA ,"40,143","37,779","2,682","23,225",139,150,19,22,"40,282","40,630","23,247"
2011,LOU,LOUISVILLE KY ,"2,892","2,562",200,"1,307",205,212,26,70,"3,097","3,000","1,377"
2011,LVG,LAS VEGAS NV ,"7,569","7,259",705,"2,885",48,68,5,19,"7,617","8,037","2,904"
2011,MAN,MANCHESTER NH ,"1,560","1,560",83,390,11,11,1,4,"1,571","1,655",394
2011,MEM,MEMPHIS TN ,"6,403","6,299",547,"2,498",48,53,3,15,"6,451","6,902","2,513"
2011,MIA,MIAMI FL ,"13,491","12,126",867,"5,994",36,12,8,17,"13,527","13,013","6,011"
2011,MIL,MILWAUKEE WI ,"4,128","3,948",271,"1,666",17,15,1,7,"4,145","4,235","1,673"
2011,MTL,MOUNT LAUREL NJ,"5,838","5,745",391,"1,781",36,23,3,14,"5,874","6,162","1,795"
2011,NEW,NEWARK NJ ,"32,057","28,768","3,295","12,311",100,132,17,26,"32,157","32,212","12,337"
2011,NOL,NEW ORLEANS LA ,"3,563","3,069",332,"1,226",89,101,1,32,"3,652","3,503","1,258"
2011,NOR,NORFOLK VA ,"3,584","3,106",166,"1,626",586,915,96,174,"4,170","4,283","1,800"
2011,NYC,NEW YORK NY ,"67,690","42,836","3,438","32,093",188,174,38,367,"67,878","46,486","32,460"
2011,OKC,OKLAHOMA CITY OK ,"2,579","2,343",251,"1,116",751,591,25,163,"3,330","3,210","1,279"
2011,OKL,OAKLAND PARK FL,"14,444","14,002",878,"5,250",58,57,15,19,"14,502","14,952","5,269"
2011,OMA,OMAHA NE ,"2,486","2,227",201,716,24,11,1,16,"2,510","2,440",732
2011,ORL,ORLANDO FL ,"11,507","10,635","1,096","4,238",47,46,4,12,"11,554","11,781","4,250"
2011,PHI,PHILADELPHI PA ,"16,354","15,671","1,110","6,325",68,76,3,37,"16,422","16,860","6,362"
2011,PHO,PHOENIX AZ ,"10,880","10,251","1,110","4,326",57,57,19,9,"10,937","11,437","4,335"
2011,PIT,PITTSBURGH PA ,"2,463","2,309",85,"1,060",10,14,1,3,"2,473","2,409","1,063"
2011,POM,PORTLAND ME ,"1,061",985,29,303,10,10, -   ,4,"1,071","1,024",307
2011,POO,PORTLAND OR ,"7,084","6,666",295,"2,472",29,34,3,12,"7,113","6,998","2,484"
2011,PRO,PROVIDENCE RI ,"2,656","2,621",269,638,23,25,1,1,"2,679","2,916",639
2011,RAL,RALEIGH NC,"5,510","5,578",307,"1,669",364,288,21,240,"5,874","6,194","1,909"
2011,REN,RENO NV ,"1,189","1,219",98,397,10,15, -   ,1,"1,199","1,332",398
2011,SAA,SANTA ANA CA,"14,047","12,628","1,132","7,507",60,27,1,18,"14,107","13,788","7,525"
2011,SAC,SACRAMENTO CA ,"16,481","13,381",950,"6,957",80,95,12,16,"16,561","14,438","6,973"
2011,SAJ,SAN JUAN PR ,"1,909","1,678",151,591,13,15,1,2,"1,922","1,845",593
2011,SBD,SAN BERNADINO CA,"12,541","11,892","1,102","5,649",164,162,18,48,"12,705","13,174","5,697"
2011,SEA,SEATTLE WA ,"14,153","13,430",946,"3,848",220,261,5,40,"14,373","14,642","3,888"
2011,SFR,SAN FRAN. CA ,"22,962","22,589","1,581","7,791",62,84,14,19,"23,024","24,268","7,810"
2011,SFV,SAN FERNANDO VALLEY CA,"16,558","12,987",998,"8,724",61,27,4,24,"16,619","14,016","8,748"
2011,SLC,SALT LAKE CITY UT ,"4,008","3,558",230,"1,676",16,17, -   ,6,"4,024","3,805","1,682"
2011,SNA,SAN ANTONIO TX ,"9,780","9,499",836,"2,996",377,446,4,111,"10,157","10,785","3,107"
2011,SND,SAN DIEGO CA ,"5,997","6,198",121,"2,157",512,595,16,108,"6,509","6,930","2,265"
2011,SNJ,SAN JOSE CA ,"14,570","14,053",710,"4,613",39,32,3,12,"14,609","14,798","4,625"
2011,SPM,ST PAUL MN ,"13,186","11,619","1,549","5,210",57,38,18,31,"13,243","13,224","5,241"
2011,SPO,SPOKANE WA ,871,807,66,333,12,10,3,2,883,886,335
2011,STA,ST ALBANS VT ,483,430,27,194,5,5,1,2,488,463,196
2011,STL,ST LOUIS MO ,"2,553","2,751",158,"1,032",19,24, -   ,16,"2,572","2,933","1,048"
2011,TAM,TAMPA FL ,"12,976","12,765","1,076","4,215",61,62,6,22,"13,037","13,909","4,237"
2011,TUC,TUCSON AZ/SUB ,"2,697","2,365",112,"1,135",28,28,5,18,"2,725","2,510","1,153"
2011,WAS,WASHINGTON DC ,"18,438","14,539","1,590","11,327",525,138,17,169,"18,963","16,284","11,496"
2011,WIC,WICHITA KS,"1,170",995,82,474,19,10, -   ,9,"1,189","1,087",483
2011,WPB,WEST PALM BEACH FL,"8,796","9,257",683,"2,256",36,63,3,9,"8,832","10,006","2,265"
2011,YAK,YAKIMA WA,"1,549","1,456",112,308,7,7, -   ,3,"1,556","1,575",311
2011 YTD Total,,,"744,942","681,290","56,336","308,556","11,066","9,415",729,"3,338","756,008","747,770","311,894"
2012,ABQ,ALBUQUERQUE NM ,"1,759","1,791",84,673,15,24, -   ,7,"1,774","1,899",680
2012,AGA,AGANA GUAM ,888,882,102,271,23,29,3,6,911,"1,016",277
2012,ALB,ALBANY NY ,"2,485","2,251",140,877,10,4, -   ,6,"2,495","2,395",883
2012,ANC,ANCHORAGE AK ,"1,322","1,154",147,485,30,32,5,15,"1,352","1,338",500
2012,ATL,ATLANTA GA ,"22,754","19,064","1,765","10,451",685,293,62,214,"23,439","21,184","10,665"
2012,BAL,BALTIMORE MD ,"20,044","16,176","1,103","9,846",76,89,11,25,"20,120","17,379","9,871"
2012,BOI,BOISE ID ,"1,317","1,255",160,430,15,15, -   ,5,"1,332","1,430",435
2012,BOS,BOSTON MA ,"18,498","15,854","1,168","8,351",38,32,1,17,"18,536","17,055","8,368"
2012,BUF,BUFFALO NY ,"3,629","3,260",372,"1,459",59,110, -   ,28,"3,688","3,742","1,487"
2012,CHA,CHARLOTTE AMALIE ,450,383,52,144,2,2, -   ,2,452,437,146
2012,CHI,CHICAGO IL ,"30,701","27,869","2,326","13,357","1,380","1,138",2,241,"32,081","31,335","13,598"
2012,CHL,CHARLESTON SC ,"3,616","3,073",230,"1,633","1,557","1,075",78,508,"5,173","4,456","2,141"
2012,CHR,CHRISTIANSTED VI ,266,204,24,102,2, -   , -   ,3,268,228,105
2012,CHS,CHARLESTON WV, -   , -   ,18,7, -   , -   , -   , -   , -   ,18,7
2012,CIN,CINCINNATI OH ,"2,814","2,564",168,834,10,18, -   ,4,"2,824","2,750",838
2012,CLE,CLEVELAND OH ,"3,945","3,656",254,"1,213",18,14,1,6,"3,963","3,925","1,219"
2012,CLM,COLUMBUS OH,"4,376","4,040",270,"1,314",9,3, -   ,1,"4,385","4,313","1,315"
2012,CLT,CHARLOTTE NC ,"7,011","5,942",400,"2,872",21,14,2,5,"7,032","6,358","2,877"
2012,CVC,CHULA VISTA CA,"7,577","6,489",366,"3,025",64,142,1,24,"7,641","6,998","3,049"
2012,DAL,DALLAS TX ,"21,954","19,299","1,505","8,063",105,114,11,30,"22,059","20,929","8,093"
2012,DEN,DENVER CO ,"8,684","8,131",845,"2,766",92,130,5,40,"8,776","9,111","2,806"
2012,DET,DETROIT MI ,"13,303","11,379","1,696","5,684",28,23,1,17,"13,331","13,099","5,701"
2012,DSM,DES MOINES IA,"2,184","2,009",208,958,5,5,1,1,"2,189","2,223",959
2012,DVD,DOVER DE AFB , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2012,ELP,EL PASO TX ,"4,357","4,060",349,"1,846",96,107,5,35,"4,453","4,521","1,881"
2012,FRE,FRESNO CA ,"11,659","11,043","1,101","4,149",53,45,6,14,"11,712","12,195","4,163"
2012,FSA,FORT SMITH AR ,"1,125",910,73,458,5, -   , -   ,4,"1,130",983,462
2012,GCU,GARDEN CITY NY,998,"2,089",189, -   ,9,1,1, -   ,"1,007","2,280", -   
2012,GRR,GREER SC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2012,HAR,HARTFORD CT ,"10,705","8,717","1,211","5,034",39,42,3,4,"10,744","9,973","5,038"
2012,HEL,HELENA MT ,323,311,31,91,9,15,2,1,332,359,92
2012,HHW,HONOLULU HI ,"3,932","3,040",313,"1,625",334,115,27,100,"4,266","3,495","1,725"
2012,HIA,HIALEAH FL,"21,623","16,362","1,229","8,585",19,21,8,8,"21,642","17,620","8,593"
2012,HLG,HARLINGEN TX ,"3,337","2,715",448,"1,441",14,15,4,15,"3,351","3,182","1,456"
2012,HOU,HOUSTON TX ,"24,729","21,715","1,650","10,325",83,88,14,18,"24,812","23,467","10,343"
2012,IMP,IMPERIAL CA,"3,232","1,642",86,"1,817",3,5, -   ,2,"3,235","1,733","1,819"
2012,INP,INDIANAPOLIS IN ,"3,754","3,338",272,"1,465",14,9,1,5,"3,768","3,620","1,470"
2012,JAC,JACKSONV'L FL ,"5,090","4,421",195,"1,779",120,127,1,16,"5,210","4,744","1,795"
2012,KAN,KANSAS CITY MO ,"3,824","3,882",178,"1,437",183,176,29,58,"4,007","4,265","1,495"
2012,KND,KENDALL FL,"19,176","14,120","1,379","8,702",39,23,12,15,"19,215","15,534","8,717"
2012,LAW,LAWRENCE MA,"8,415","6,911",800,"3,186",23,16,3,6,"8,438","7,730","3,192"
2012,LNY,LONG ISLAND NY,"23,501","17,015","1,189","15,151",41,57,5,19,"23,542","18,266","15,170"
2012,LOS,LOS ANGELES CA ,"34,788","33,049","1,941","11,782",136,71,8,32,"34,924","35,069","11,814"
2012,LAC,LOS ANGELES COUNTY CA ,"9,674","11,681","1,099","9,314",9,63,9,1,"9,683","12,852","9,315"
2012,LOU,LOUISVILLE KY ,"3,283","2,772",345,"1,006",61,93,11,11,"3,344","3,221","1,017"
2012,LVG,LAS VEGAS NV ,"8,164","6,555",664,"4,906",41,61,13,9,"8,205","7,293","4,915"
2012,MAN,MANCHESTER NH ,"1,730","1,504",129,500,6,12,2,4,"1,736","1,647",504
2012,MEM,MEMPHIS TN ,"7,014","6,392",593,"2,811",46,59,9,9,"7,060","7,053","2,820"
2012,MIA,MIAMI FL ,"20,635","15,953","1,637","9,105",32,27,6,16,"20,667","17,623","9,121"
2012,MIL,MILWAUKEE WI ,"4,255","3,842",388,"1,571",14,18,2,4,"4,269","4,250","1,575"
2012,MTL,MOUNT LAUREL NJ,"7,821","6,611",336,"2,975",37,21,1,18,"7,858","6,969","2,993"
2012,NEW,NEWARK NJ ,"42,820","36,360","2,983","16,332",82,61,12,46,"42,902","39,416","16,378"
2012,NOL,NEW ORLEANS LA ,"3,760","2,859",410,"1,756",62,121,3,7,"3,822","3,393","1,763"
2012,NOR,NORFOLK VA ,"4,277","3,721",270,"2,188",404,509,101,101,"4,681","4,601","2,289"
2012,NYC,NEW YORK NY ,"74,142","54,037","5,562","40,841",151,162,52,115,"74,293","59,813","40,956"
2012,OKC,OKLAHOMA CITY OK ,"2,888","2,630",319,"1,203",599,476,17,200,"3,487","3,442","1,403"
2012,OKL,OAKLAND PARK FL,"22,178","16,422","1,525","9,716",38,34,5,9,"22,216","17,986","9,725"
2012,OMA,OMAHA NE ,"2,915","2,334",328,900,10,10,2,15,"2,925","2,674",915
2012,ORL,ORLANDO FL ,"14,508","10,557","1,074","7,470",49,32,10,17,"14,557","11,673","7,487"
2012,PHI,PHILADELPHI PA ,"19,410","15,920","1,115","9,368",49,74,7,23,"19,459","17,116","9,391"
2012,PHO,PHOENIX AZ ,"12,596","9,885","1,319","5,439",67,39,8,29,"12,663","11,251","5,468"
