,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Total,,," 283,234 "," 186,864 "," 20,806 "," 520,283 "," 2,802 "," 2,135 ", 155 ," 3,731 "," 286,036 "," 188,999 "," 20,961 "," 524,014 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Charleston ,CHL," 1,180 "," 1,022 ", 117 ," 2,307 ", 883 , 226 , D , 970 ," 2,063 "," 1,248 ", 123 ," 3,277 ",,,,,,,,,,
Tennessee,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Memphis ,MEM," 2,143 "," 1,708 ", 132 ," 4,096 ", D , 10 , -   , 12 ," 2,150 "," 1,718 ", 132 ," 4,108 ",,,,,,,,,,
Texas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Dallas ,DAL," 8,050 "," 4,667 ", 659 ," 16,578 ", 13 , 30 , D , 38 ," 8,063 "," 4,697 ", 665 ," 16,616 ",,,,,,,,,,
,El Paso ,ELP," 2,215 ", 608 , 105 ," 4,446 ", D , 16 , D , 40 ," 2,220 ", 624 , 107 ," 4,486 ",,,,,,,,,,
,Harlingen ,HLG," 1,522 ", 949 , 127 ," 2,533 ", D , D , D , D ," 1,523 ", 954 , 128 ," 2,537 ",,,,,,,,,,
,Houston ,HOU," 9,147 "," 5,238 ", 507 ," 18,890 ", D , 18 , D , 12 ," 9,156 "," 5,256 ", 511 ," 18,902 ",,,,,,,,,,
,San Antonio ,SNA," 4,193 "," 3,519 ", 201 ," 7,474 ", 215 , 248 , D , 367 ," 4,408 "," 3,767 ", 209 ," 7,841 ",,,,,,,,,,
Utah,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Salt Lake City ,SLC," 1,306 "," 1,004 ", 66 ," 2,185 ", D , D , -   , D ," 1,307 "," 1,005 ", 66 ," 2,194 ",,,,,,,,,,
Vermont,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,St. Albans ,STA, 208 , 199 , D , 391 , -   , D , -   , D , 208 , 202 , D , 392 ,,,,,,,,,,
Virginia,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Norfolk ,NOR," 1,429 "," 1,154 ", 113 ," 3,278 ", 31 , 261 , D , 219 ," 1,460 "," 1,415 ", 121 ," 3,497 ",,,,,,,,,,
Washington,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Seattle ,SEA," 4,484 "," 4,079 ", 354 ," 7,737 ", 11 , 44 , D , 48 ," 4,495 "," 4,123 ", 361 ," 7,785 ",,,,,,,,,,
,Spokane ,SPO, 269 , 274 , 12 , 613 , -   , -   , D , D , 269 , 274 , 13 , 615 ,,,,,,,,,,
,Yakima,YAK, 602 , 423 , 28 , 833 , -   , D , -   , D , 602 , 426 , 28 , 835 ,,,,,,,,,,
Wisconsin,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Milwaukee ,MIL," 1,313 ", 857 , 87 ," 2,053 ", -   , D , -   , D ," 1,313 ", 861 , 87 ," 2,058 ",,,,,,,,,,
,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
Guam,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Hagatna,AGA, 220 , 248 , 13 , 382 , D , D , D , D , 223 , 249 , 15 , 389 ,,,,,,,,,,
U.S. Virgin Islands,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Charlotte Amalie,CHA, 137 , 47 , 21 , 215 , D , D , -   , D , 138 , 49 , 21 , 219 ,,,,,,,,,,
,Christiansted ,CHR, 78 , -   , D , 228 , -   , -   , -   , -   , 78 , -   , D , 228 ,,,,,,,,,,
Puerto Rico,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,San Juan ,SAJ," 1,007 ", 757 , 82 ," 1,761 ", D , -   , -   , D ," 1,008 ", 757 , 82 ," 1,763 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization.""",,,,,,,,,,,,,,,,,,,,,,,,
 Total includes both general and military naturalization. ,,,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT),  June 2016",,,,,,,,,,,,,,,,,,,,,,,,
